signal_date,trade_date,session,direction,direction_zh,total_score,tw_score,intl_score,news_score,entry_price,exit_price,pnl_points,pnl_nts,win,status
1997-10-27,1997-10-28,day,-1,做空▼,-9,-9,0,0,7280,7211,68.6,636,True,simulated
1997-10-28,1997-10-29,day,0,觀望─,-10,-10,0,0,,,,,,sim_skip
1997-10-29,1997-10-30,day,0,觀望─,-10,-10,0,0,,,,,,sim_skip
1997-10-30,1997-11-03,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-11-03,1997-11-04,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1997-11-04,1997-11-05,day,0,觀望─,-4,-4,0,0,,,,,,sim_skip
1997-11-05,1997-11-06,day,0,觀望─,-1,-1,0,0,,,,,,sim_skip
1997-11-06,1997-11-07,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1997-11-07,1997-11-10,day,0,觀望─,5,5,0,0,,,,,,sim_skip
1997-11-10,1997-11-11,day,0,觀望─,2,2,0,0,,,,,,sim_skip
1997-11-11,1997-11-13,day,0,觀望─,-2,-2,0,0,,,,,,sim_skip
1997-11-13,1997-11-14,day,0,觀望─,-2,-2,0,0,,,,,,sim_skip
1997-11-14,1997-11-17,day,0,觀望─,-5,-5,0,0,,,,,,sim_skip
1997-11-17,1997-11-18,day,0,觀望─,1,1,0,0,,,,,,sim_skip
1997-11-18,1997-11-19,day,0,觀望─,1,1,0,0,,,,,,sim_skip
1997-11-19,1997-11-20,day,0,觀望─,4,4,0,0,,,,,,sim_skip
1997-11-20,1997-11-21,day,0,觀望─,4,4,0,0,,,,,,sim_skip
1997-11-21,1997-11-24,day,0,觀望─,8,8,0,0,,,,,,sim_skip
1997-11-24,1997-11-25,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1997-11-25,1997-11-26,day,1,做多▲,5,5,0,0,7821,7697,-123.5,-1285,False,simulated
1997-11-26,1997-11-27,day,0,觀望─,3,3,0,0,,,,,,sim_skip
1997-11-27,1997-11-28,day,0,觀望─,4,4,0,0,,,,,,sim_skip
1997-11-28,1997-12-01,day,0,觀望─,5,5,0,0,,,,,,sim_skip
1997-12-01,1997-12-02,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-12-02,1997-12-03,day,-1,做空▼,-4,-4,0,0,7651,7903,-252.8,-2578,False,simulated
1997-12-03,1997-12-04,day,0,觀望─,2,2,0,0,,,,,,sim_skip
1997-12-04,1997-12-05,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1997-12-05,1997-12-08,day,1,做多▲,9,9,0,0,8266,8401,134.8,1298,True,simulated
1997-12-08,1997-12-09,day,0,觀望─,10,10,0,0,,,,,,sim_skip
1997-12-09,1997-12-10,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1997-12-10,1997-12-11,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1997-12-11,1997-12-12,day,0,觀望─,8,8,0,0,,,,,,sim_skip
1997-12-12,1997-12-15,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1997-12-15,1997-12-16,day,1,做多▲,8,8,0,0,8342,8193,-149.7,-1547,False,simulated
1997-12-16,1997-12-17,day,1,做多▲,8,8,0,0,8299,8346,47.5,425,True,simulated
1997-12-17,1997-12-18,day,0,觀望─,5,5,0,0,,,,,,sim_skip
1997-12-18,1997-12-19,day,0,觀望─,4,4,0,0,,,,,,sim_skip
1997-12-19,1997-12-22,day,0,觀望─,4,4,0,0,,,,,,sim_skip
1997-12-22,1997-12-23,day,0,觀望─,1,1,0,0,,,,,,sim_skip
1997-12-23,1997-12-24,day,0,觀望─,-3,-3,0,0,,,,,,sim_skip
1997-12-24,1997-12-26,day,0,觀望─,-3,-3,0,0,,,,,,sim_skip
1997-12-26,1997-12-29,day,0,觀望─,-1,-1,0,0,,,,,,sim_skip
1997-12-29,1997-12-30,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-12-30,1997-12-31,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-12-31,1998-01-05,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1998-01-05,1998-01-06,day,0,觀望─,-4,-4,0,0,,,,,,sim_skip
1998-01-06,1998-01-07,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1998-01-07,1998-01-08,day,-1,做空▼,-10,-10,0,0,7859,7779,79.9,749,True,simulated
1998-01-08,1998-01-09,day,0,觀望─,-10,-10,0,0,,,,,,sim_skip
1998-01-09,1998-01-12,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1998-01-12,1998-01-13,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1998-01-13,1998-01-14,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1998-01-14,1998-01-15,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1998-01-15,1998-01-16,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1998-01-16,1998-01-19,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1998-01-19,1998-01-20,day,0,觀望─,-4,-4,0,0,,,,,,sim_skip
1998-01-20,1998-01-21,day,0,觀望─,-3,-3,0,0,,,,,,sim_skip
1998-01-21,1998-01-22,day,0,觀望─,4,4,0,0,,,,,,sim_skip
1998-01-22,1998-02-02,day,0,觀望─,3,3,0,0,,,,,,sim_skip
1998-02-02,1998-02-03,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1998-02-03,1998-02-04,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1998-02-04,1998-02-05,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1998-02-05,1998-02-06,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1998-02-06,1998-02-09,day,1,做多▲,9,9,0,0,8780,8634,-146.4,-1514,False,simulated
1998-02-09,1998-02-10,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1998-02-10,1998-02-11,day,0,觀望─,5,5,0,0,,,,,,sim_skip
1998-02-11,1998-02-12,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1998-02-12,1998-02-13,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1998-02-13,1998-02-16,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1998-02-16,1998-02-17,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1998-02-17,1998-02-18,day,0,觀望─,6,6,0,0,,,,,,sim_skip
1998-02-18,1998-02-19,day,0,觀望─,8,8,0,0,,,,,,sim_skip
1998-02-19,1998-02-20,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1998-02-20,1998-02-23,day,0,觀望─,8,8,0,0,,,,,,sim_skip
1998-02-23,1998-02-24,day,0,觀望─,8,8,0,0,,,,,,sim_skip
1998-02-24,1998-02-25,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1998-02-25,1998-02-26,day,1,做多▲,8,8,0,0,9145,9228,82.9,779,True,simulated
1998-02-26,1998-02-27,day,0,觀望─,7,7,0,0,,,,,,sim_skip
